School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
119,Castlemaine Primary School,Primary,O,6,12,18,13,13,26,17,8,25,16,12,28,16,11,27,11,14,25,20,15,35,184
3820,Caulfield Junior College,Primary,O,40,34.7,74.7,34,35,69,38,36,74,31,47,78,35,35,70,36,31,67,32,22,54,486.7
5489,Caulfield Primary School,Primary,O,17,30,47,28,26,54,25,24,49,20,19,39,13,22,35,7,18,25,15,12,27,276
4315,Caulfield South Primary School,Primary,O,44,37,81,36.6,40,76.6,45,43,88,29,27,56,36,27,63,42,35,77,35,26,61,502.6
116,Cavendish Primary School,Primary,O,3,5,8,3,3,6,1,3,4,2,2,4,2,3,5,6,6,12,2,1,3,42
1602,Ceres Primary School,Primary,O,9,4,13,12,8,20,8,10,18,6,11,17,14,13,27,5,7,12,4,6,10,117
5231,Chalcot Lodge Primary School,Primary,O,33,28,61,12,14,26,11,30,41,23,22,45,28,23,51,22,14,36,20,15,35,295
5533,Chandler Park Primary School,Primary,O,35,33,68,26,45,71,35,29,64,25,30,55,38,28,66,39,37,76,35,29,64,464
8890,Charles La Trobe P-12 College,Pri/Sec,O,22,18,40,18,21,39,17,24,41,15,13,28,17,21,38,16,18.4,34.4,21.4,12,33.4,253.8
8830,Charlton College,Pri/Sec,O,4,3,7,2,3,5,2,6,8,1,4,5,2,3,5,11,5,16,8,3,11,57
4314,Chatham Primary School,Primary,O,26,36,62,32,21,53,32,25,57,37,23,60,37,27,64,25,27,52,34,25,59,407
3341,Chelsea Heights Primary School,Primary,O,34.4,33,67.4,39.4,33,72.4,28,24,52,22,26,48,32,33,65,31,26,57,15,26,41,402.8
3729,Chelsea Primary School,Primary,O,19,18,37,26,12,38,21,23,44,20,21,41,19,19,38,15,17,32,17,12,29,259
4754,Cheltenham East Primary School,Primary,O,36,27,63,34,24,58,44,27,71,31,24,55,38,25,63,33,34,67,36,28,64,441
84,Cheltenham Primary School,Primary,O,26,32,58,34,29,63,43,28,71,32,24,56,36,27,63,20,27,47,20,32,52,410
1054,Chewton Primary School,Primary,O,9,4,13,7,3,10,3,8,11,5,5,10,5,6.2,11.2,2,6,8,7,3,10,73.2
327,Chiltern Primary School,Primary,O,3,2,5,2,2,4,7,3,10,5,3,8,6,9,15,4,5,9,5,5,10,61
2061,Chilwell Primary School,Primary,O,28,30,58,25,27,52,26,24,50,19,39,58,29,22,51,24,31,55,30,22,52,376
5194,Chirnside Park Primary School,Primary,O,17,20,37,24,19,43,21,21,42,17,18,35,12.4,22,34.4,19,18,37,14,20,34,262.4
1362,Christmas Hills Primary School,Primary,O,0,0,0,1,3,4,4,2,6,0,3,3,3,4,7,0,2,2,1,1,2,24
3279,Chum Creek Primary School,Primary,O,5,6,11,2,7,9,3,7,10,5,2,7,4,7,11,5,3,8,3,4,7,63
5117,Churchill North Primary School,Primary,O,11,19,30,9,14,23,8,9,17,23,9,32,17,5,22,9,8,17,15,11,26,167
4970,Churchill Primary School,Primary,O,12,7,19,8.4,12,20.4,14,16,30,11,11,22,5,13,18,14,11,25,13,10,23,157.4
3336,Clarinda Primary School,Primary,O,31,27,58,32,29,61,15,23,38,18,27,45,26,24,50,25,19,44,20,5,25,321
734,Clayton North Primary School,Primary,O,34,23,57,32,28,60,33,17,50,22.4,22,44.4,21,19,40,18,19,37,19,13,32,320.4
4384,Clayton South Primary School,Primary,O,9,7,16,6,9,15,7,7,14,7,10,17,10,8,18,9,9,18,8,7,15,113
3684,Clifton Creek Primary School,Primary,O,0,1,1,1,0,1,2,0,2,1,0,1,2,0,2,1,3,4,2,1,3,14
1360,Clifton Hill Primary School,Primary,O,53,60,113,56,50,106,66,70,136,45,51,96,45,52,97,54,46,100,55,49,104,752
5280,Clifton Springs Primary School,Primary,O,18,21,39,24,34,58,26,28,54,27,27,54,26,17,43,18,21,39,21.3,21,42.3,329.3
1552,Clunes Primary School,Primary,O,12,7,19,9,7,16,13,5,18,13,12,25,12,10,22,11,8,19,16,9,25,144
3664,Clyde Primary School,Primary,O,36,34,70,46,36,82,28,19,47,21,17,38,20,22,42,16,24,40,22,13,35,354
4712,Coatesville Primary School,Primary,O,75,67,142,61,63,124,54,42,96,62,45,107,62,47,109,58,49,107,47,39,86,771
4387,Cobains Primary School,Primary,O,4,2,6,0,2,2,4,3,7,9,1,10,4,6,10,1,2,3,4.6,2,6.6,44.6
864,Cobden Primary School,Primary,O,9,11,20,14,11,25,12,8,20,18,12,30,18,11,29,13,14,27,19,15,34,185
6209,Cobram Primary School,Primary,O,13,13,26,8,11,19,13,7,20,16,15,31,11,15,26,19,17,36,14,20,34,192
4543,Coburg North Primary School,Primary,O,57,51,108,33,46,79,32,40,72,30,21,51,14,25,39,15,18,33,24,8,32,414
484,Coburg Primary School,Primary,O,26,24,50,30,20,50,10,23,33,26,24,50,14,13,27,14,13,27,20,16,36,273
3941,Coburg West Primary School,Primary,O,42,44,86,47,39,86,30,31,61,50,29,79,30,34,64,26,30,56,34,37,71,503
5090,Coburn Primary School,Primary,O,50,45,95,47,48,95,42,48,90,50,59,109,43,56,99,48,43,91,56,42,98,677
3535,Cockatoo Primary School,Primary,O,26,18,44,15,19,34,18,18,36,14.6,15,29.6,13,24,37,17,12,29,22,15,37,246.6
6211,Cohuna Consolidated School,Primary,O,8,8,16,11,10,21,13,6,19,16,10,26,13,11,24,21,11,32,11,10,21,159
716,Coimadai Primary School,Primary,O,9,6,15,9,3,12,4,4,8,3,1,4,5,3,8,6,0,6,1,5,6,59
117,Colac Primary School,Primary,O,19,23,42,15,15,30,28.2,17,45.2,23,12,35,19,15,34,20,10,30,18,13,31,247.2
4775,Colac South West Primary School,Primary,O,9,7,16,11,7,18,9,6,15,6,3,9,12,11,23,10,14,24,12,9,21,126
4064,Colac West Primary School,Primary,O,7,2,9,12,5,17,11,9,20,7,7,14,6,9,15,10,7,17,10,9,19,111
3936,Colbinabbin Primary School,Primary,O,1,0,1,3,2,5,3,1,4,1,4,5,1,1,2,3,2,5,3,2,5,27
5127,Coldstream Primary School,Primary,O,5,3,8,3,4,7,11,3,14,6,9,15,8,5,13,6,7,13,13,4,17,87
2118,Coleraine Primary School,Primary,O,4,7,11,2,4,6,5,2,7,5,0,5,5,4,9,0,2,2,4,3,7,47
6212,Collingwood College,Pri/Sec,O,25,31,56,30,35,65,19,30,49,38,12.6,50.6,37,29,66,22,31,53,36,26,62,402.6
1136,Concongella Primary School,Primary,O,3,3,6,1,1,2,3,5,8,1,1,2,2,3,5,1,1,2,2,2,4,29
2563,Congupna Primary School,Primary,O,9,3,12,2,2,4,3,6,9,8,0.4,8.4,3,3,6,5,0,5,4,1,5,49.4
5554,Coolaroo South Primary School,Primary,O,17,19,36,19,6,25,12,13,25,24,17,41,19,16,35,21,23.2,44.2,27,12,39,245.2
5292,Coral Park Primary School,Primary,O,32,37,69,33,24,57,33,44,77,18,24,42,36,25,61,31,23,54,37,19,56,416
8843,Corryong College,Pri/Sec,O,10.8,10,20.8,8,6,14,13,11,24,8,10,18,11,10.8,21.8,9,15,24,8,7,15,137.6
5371,Courtenay Gardens Primary School,Primary,O,65,55,120,52,62,114,64,53,117,57,62,119,72,50,122,56,64,120,59,61,120,832
1282,Cowes Primary School,Primary,O,43,36,79,44,37,81,42,44,86,42,29.8,71.8,64,43,107,42,38,80,31,44,75,579.8
1967,Cowwarr Primary School,Primary,O,1,0,1,1,0,1,1,0,1,0,0,0,4,1,5,0,1,1,2,0,2,11
4770,Craigieburn Primary School,Primary,O,63,51,114,55,59,114,60,53,113,45,42,87,42,54,96,48.4,40,88.4,50,41,91,703.4
5243,Craigieburn South Primary School,Primary,O,59,39,98,46,53,99,51,38,89,44,46,90,60,41,101,55.9,41,96.9,57,53,110,683.9
5510,Cranbourne Carlisle Primary School,Primary,O,38,37,75,37,43,80,39,35,74,47,35,82,31,30,61,32,31,63,25,22,47,482
5518,Cranbourne East Primary School,Primary,O,80,71,151,97,97,194,91,89,180,89,80,169,110,83,193,84,83,167,77,97,174,1228
4887,Cranbourne Park Primary School,Primary,O,32,27,59,35,33,68,26,23,49,23,21,44,17,21,38,29,21,50,21,17,38,346
2068,Cranbourne Primary School,Primary,O,23,19,42,18,22,40,20,22,42,30,13,43,22,18,40,28,25,53,26,24,50,310
4755,Cranbourne South Primary School,Primary,O,28,23,51,26,24,50,23,26,49,30,20,50,25,37,62,21,17,38,26,25,51,351
5189,Cranbourne West Primary School,Primary,O,48,43.4,91.4,53,49,102,41,46,87,31,40,71,35,35,70,31,42,73,36,34,70,564.4
8909,Creekside K-9 College,Pri/Sec,O,65.2,65,130.2,72,71,143,65,60,125,71,87,158,74,61,135,69,78,147,69,78,147,985.2
2041,Creswick North Primary School,Primary,O,4,5,9,7,3,10,1,4,5,4,2,6,0,0,0,3,4,7,2,6,8,45
122,Creswick Primary School,Primary,O,15,15,30,13,8,21,11,14,25,16,15,31,15,14,29,9,18,27,12,19,31,194
3080,Crib Point Primary School,Primary,O,9,9,18,13,14,27,8,14,22,15,9,24,4,15,19,19,7,26,8,12,20,156
5255,Croydon Hills Primary School,Primary,O,46,45,91,57,63,120,39,37,76,51.4,53,104.4,61,69,130,37,43,80,30,43,73,674.4
2900,Croydon Primary School,Primary,O,8,13,21,10,11,21,15,12,27,13,6,19,9,15,24,5,13,18,15,9,24,154
105,Cudgee Primary School,Primary,O,2,1,3,4,2,6,2,1,3,3,4,7,1,3,4,1,1,2,2,0,2,27
3907,Currawa Primary School,Primary,O,2,0,2,0,0,0,0,0,0,0,0,0,1,2,3,0,1,1,0,0,0,6
5546,Dallas Brooks Community Primary School,Primary,O,37,32,69,36,36,72,37.4,33,70.4,32,39,71,35.4,36,71.4,36.4,32,68.4,29,36,65,487.2
4723,Dandenong North Primary School,Primary,O,69,67,136,62,56,118,59,59,118,62,61,123,60,61,121,50,60,110,48,57,105,831
1403,Dandenong Primary School,Primary,O,36,20,56,23,18,41,25,31,56,24,27,51,33,31,64,27,32,59,22,25,47,374
4810,Dandenong South Primary School,Primary,O,42,42,84,43,56,99,47,51,98,44,52,96,42,40,82,50,42,92,28,36,64,615
4217,Dandenong West Primary School,Primary,O,23,28,51,26,17,43,23,17,40,19.4,16,35.4,22,17,39,27,21,48,29,21,50,306.4
1081,Dargo Primary School,Primary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5200,Darley Primary School,Primary,O,51,33,84,50,43,93,51,47,98,39,45,84,58,55,113,51,45,96,38,52,90,658
2319,Darnum Primary School,Primary,O,9,9,18,14,7,21,8,10,18,11,12,23,13,14,27,10,7,17,13,12,25,149
878,Darraweit Guim Primary School,Primary,O,3,3,6,2,6,8,3,3,6,1,3,4,2,1,3,2,0,2,0,4,4,33
1035,Dartmoor Primary School,Primary,O,0,1,1,4,3,7,3,0,3,4,2,6,3,0,3,1,3,4,1,1,2,26
1609,Daylesford Primary School,Primary,O,21,19,40,17,30,47,15,18,33,15,27,42,20,20,40,22,25,47,17,31,48,297
1642,Deans Marsh Primary School,Primary,O,3,2,5,7,6,13,5,2,7,4,6,10,6,3,9,3,3,6,1,2,3,53
5068,Debney Meadows Primary School,Primary,O,4,9,13,7,9,16,6,9,15,10,3,13,8,5,13,1,6,7,8,4,12,89
1772,Dederang Primary School,Primary,O,2,1,3,0,2,2,0,0,0,0,5,5,0,3,3,2,0,2,4,1,5,20
3680,Deepdene Primary School,Primary,O,43,41,84,34,25,59,34,22,56,35,23,58,25,39,64,33,24,57,36,33,69,447
5084,Deer Park North Primary School,Primary,O,30,24,54,34.2,22,56.2,29,28,57,30,30.2,60.2,25.2,31,56.2,29,19,48,25.2,23,48.2,379.8
5032,Deer Park West Primary School,Primary,O,35,37.2,72.2,36,40,76,36,34,70,33,23.2,56.2,34,25,59,33.2,22,55.2,27,34,61,449.6
5201,Delacombe Primary School,Primary,O,27,22,49,27,17,44,25,30,55,15,34,49,19,21,40,25,29,54,15,15,30,321
4996,Derinya Primary School,Primary,O,63,59,122,45,64,109,50,55,105,53,61,114,66,65,131,45,47,92,64,54,118,791
5512,Derrimut Primary School,Primary,O,71,64,135,54.2,46,100.2,56,54,110,51,61,112,56,58,114,59,52,111,49,48,97,779.2
5375,Derrinallum P-12 College,Pri/Sec,O,6,4,10,1,1,2,4,2,6,3,4,7,2,2,4,3,2,5,2,0,2,36
1764,Devenish Primary School,Primary,O,0,0,0,2,0,2,0,1,1,0,1,1,1,1,2,0,0,0,0,2,2,8
3924,Devon Meadows Primary School,Primary,O,17,21,38,12,12,24,17,6,23,14,14,28,16,21,37,16,16,32,16,8,24,206
2703,Devon North Primary School,Primary,O,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,4
3944,Dhurringile Primary School,Primary,O,1,2,3,1,1,2,1,0,1,0,1,1,0,4,4,0,0,0,1,0,1,12
5037,Diamond Creek East Primary School,Primary,O,38,22,60,37,22,59,41,27,68,30,28,58,29,40,69,28,28,56,29,39.4,68.4,438.4
1003,Diamond Creek Primary School,Primary,O,21,18,39,23,14,37,16,11,27,17,15,32,14,15,29,18,12,30,14,12,26,220
2479,Diggers Rest Primary School,Primary,O,17,14,31,9,11,20,18,9,27,11,9,20,14,13,27,15,7,22,6,8,14,161
1372,Dimboola Primary School,Primary,O,8,7,15,6,5,11,7,9,16,5,8,13,6,13,19,4,10,14,12,8,20,108
4257,Dingley Primary School,Primary,O,53,38,91,38,35,73,26,35,61,21,39,60,35,26,61,29,24,53,33,19,52,451
5450,Dinjerra Primary School,Primary,O,15,8,23,12,9,21,19,11,30,6,5,11,9,7,16,8,13,21,8,11,19,141
6261,Distance Education Centre Victoria,Pri/Sec,O,7,4,11,7,10,17,7,7,14,13.4,4,17.4,10,19.2,29.2,13.2,8,21.2,18.9,15,33.9,143.7
1585,Dixons Creek Primary School,Primary,O,3,1,4,2,3,5,2,11,13,8,4,12,5,4,9,5,8,13,7,4,11,67
3956,Don Valley Primary School,Primary,O,2,3,5,6,3,9,2,0,2,3,2,5,7,1,8,3,0,3,3,0,3,35
1465,Donald Primary School,Primary,O,5,5,10,10,7,17,8,7,15,8,3,11,8,10,18,11,12,23,12,6,18,112
5019,Donburn Primary School,Primary,O,32,18,50,19,26,45,32,29,61,37,21,58,47,27,74,27,24,51,38,44,82,421
5454,Doncaster Gardens Primary School,Primary,O,50,43,93,57,43,100,49,51,100,53,40,93,62,50,112,50,25,75,53,46,99,672
197,Doncaster Primary School,Primary,O,33,31,64,39,28,67,35,36,71,39,33,72,52,57,109,32,37,69,36,43,79,531
4961,Donvale Primary School,Primary,O,21,15,36,20,16,36,21,26,47,21,19,40,19,9,28,19,20,39,13,10,23,249
1527,Dookie Primary School,Primary,O,3,4,7,0.6,3,3.6,4,3,7,2.6,3,5.6,2,6,8,4,4,8,2,4,6,45.2
945,Doreen Primary School,Primary,O,12,11,23,10,12,22,7,10,17,10,13,23,12,11,23,13,10,23,11,12,23,154
5132,Dorset Primary School,Primary,O,38,31,69,28,37,65,35.5,48,83.5,37,33.6,70.6,32,30,62,50.5,33,83.5,26,25,51,484.6
8905,Doveton College,Pri/Sec,O,33,38,71,37,23,60,37,36,73,33,29,62,29,36,65,35,32,67,36,17,53,568
184,Dromana Primary School,Primary,O,33,42,75,40,30,70,44,34,78,33,39,72,51,29,80,40,35,75,26,38,64,514
1924,Drouin Primary School,Primary,O,24,38.5,62.5,34,35,69,35,28,63,22,28,50,22,32,54,23,27,50,28.2,24,52.2,400.7
2313,Drouin South Primary School,Primary,O,20,10,30,11,14,25,13,7,20,15,11,26,15,12,27,14,17,31,9,20,29,188
1417,Drouin West Primary School,Primary,O,15,20,35,17,12,29,17,15,32,16,14,30,22,10,32,19,12,31,8,11,19,208
1848,Drummond Primary School,Primary,O,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,1,1,0,0,0,4
1645,Drysdale Primary School,Primary,O,38,33,71,41,30,71,32,45,77,44,49,93,41,35,76,51,38,89,48,46,94,571
6215,Dunkeld Consolidated School,Primary,O,11,5,16,4,9,13,11,8,19,9,9,18,7,10,17,8,9,17,3,2,5,105
1582,Dunolly Primary School,Primary,O,8,8,16,9,5,14,7,9,16,5,4,9,10,5,15,4,7,11,5,7,12,93
3215,Eagle Point Primary School,Primary,O,15,8,23,12,11,23,13,6,19,13,7,20,8,11,19,10,6,16,6,11,17,137
1428,Eaglehawk North Primary School,Primary,O,31,32,63,32,26,58,31,20,51,27,36,63,27,30,57,34,24,58,26,23,49,399
210,Eaglehawk Primary School,Primary,O,5,10,15,4,11,15,3,5,8,6,5,11,10,10,20,6,13,19,11,8,19,107
4837,East Bentleigh Primary School,Primary,O,29,45,74,37,27,64,18,22,40,34,28,62,31.4,35,66.4,15,22,37,18,19,37,380.4
6217,East Loddon P-12 College,Pri/Sec,O,10,4,14,5,10,15,11,13,24,11,6,17,6,12,18,8,7,15,7,13,20,123
5133,Eastbourne Primary School,Primary,O,39,31,70,24,25,49,27,22,49,23,28,51,32,41,73,24,27,51,30,28,58,401
4702,Eastwood Primary School,Primary,O,44,34,78,41,28,69,37,31,68,33,22,55,20,33,53,29,27.4,56.4,18,17.2,35.2,414.6
2667,Echuca East Primary School,Primary,O,30,19.2,49.2,24,21,45,31,19,50,22,25,47,23,17,40,28,25,53,27,22,49,333.2
208,Echuca Primary School,Primary,O,42,45,87,45,42,87,49,43,92,40,41,81,41.2,33,74.2,46,30,76,41.2,40,81.2,578.4
4994,Echuca South Primary School,Primary,O,8,8,16,11,9,20,7,10,17,5,9,14,10,12,22,8,13,21,19,13,32,142
3916,Echuca West Primary School,Primary,O,4,3,7,6,7,13,4,8,12,10,16,26,7,8,15,7,7,14,14,7,21,108
5432,Edenhope College,Pri/Sec,O,2,4,6,5,2,7,4,6,10,4,4,8,2,8,10,3,5,8,7,3,10,59
1422,Edi Upper Primary School,Primary,O,1,0,1,1,4,5,0,3,3,4,1,5,1,2,3,2,4,6,3,2,5,28
3790,Edithvale Primary School,Primary,O,22,26,48,29,32,61,23,18,41,21,30,51,29,19,48,27,17,44,18,33,51,344
3931,Eildon Primary School,Primary,O,5,0,5,2,3,5,4,7,11,2,4,6,2,2,4,3,2,5,2,2,4,40
2028,Elliminyt Primary School,Primary,O,15,17,32,25,14,39,13,16,29,20,13,33,9,15,24,12,19,31,7,20,27,215
2189,Ellinbank Primary School,Primary,O,2,3,5,0,1,1,4,2,6,2,2,4,1,3,4,3,0,3,2,1,3,26
959,Elmhurst Primary School,Primary,O,0,0,0,0,2,2,0,0,0,2,1,3,0,0,0,2,1,3,0,0,0,8
1515,Elmore Primary School,Primary,O,1,2,3,1,0,1,7,0,7,4,3,7,1,1,2,1,2,3,1,1,2,25
220,Elphinstone Primary School,Primary,O,0,0,0,2,1,3,0,4,4,1,1,2,2,2,4,3,3,6,1,1,2,21
2870,Elsternwick Primary School,Primary,O,44,32,76,61,47,108,45,53,98,66,50,116,44,40,84,33,26,59,35,32,67,608
4897,Eltham East Primary School,Primary,O,39,43,82,58,34,92,61,42,103,45,53,98,53,54,107,38,45,83,38,35,73,638
4212,Eltham North Primary School,Primary,O,47,37,84,50,39,89,38,47,85,50,32,82,38,47,85,46,43,89,55,27,82,596
209,Eltham Primary School,Primary,O,19,33,52,38,28,66,35,20,55,28,24,52,30,33,63,47,27,74,26,33,59,421
3942,Elwood Primary School,Primary,O,81,55,136,67,63,130,72,57,129,39,59,98,57,47,104,52,62,114,54,45,99,810
3381,Emerald Primary School,Primary,O,42,27,69,37,34,71,37,38,75,29,42,71,35,38,73,42,33,75,38,35,73,507
1788,Eppalock Primary School,Primary,O,2,5,7,5,5,10,4,2,6,3,6,9,4,1,5,2,3,5,2,1,3,45
5551,Epping Primary School,Primary,O,35,20,55,36,25,61,35,45,80,30,33,63,37,33,70,40,20,60,26,30,56,445
5513,Epping Views Primary School,Primary,O,113,99,212,140,118,258,118.4,109,227.4,116,104,220,98,78,176,79,83,162,86,83,169,1424.4
2367,Epsom Primary School,Primary,O,11,16,27,14,10,24,13,21,34,18,15,33,19,14,33,19,9,28,20.4,19,39.4,218.4
2318,Eskdale Primary School,Primary,O,0,2,2,3,5,8,2,0,2,2,2,4,2,1,3,2,2,4,1,3,4,27
4015,Essendon North Primary School,Primary,O,38,55,93,54,56,110,45,45,90,42,52,94,58,45,103,55,42,97,34.2,43,77.2,664.2
483,Essendon Primary School,Primary,O,33,37,70,31,31,62,41,35,76,45,30,75,40,39,79,31,40,71,41,32,73,506
4903,Essex Heights Primary School,Primary,O,46,24,70,42,39,81,43,42,85,49,34,83,60,46,106,30,35,65,25,37,62,552
1706,Euroa Primary School,Primary,O,8,7,15,10,6,16,14,10,24,9,19,28,19,8,27,19,13,32,16,16,32,174
5399,Everton Primary School,Primary,O,2,0,2,2,0,2,1,0,1,1,0,1,1,2,3,2,2,4,2,0,2,15
3423,Exford Primary School,Primary,O,31,38,69,37,17,54,32,31,63,31,34,65,33,44,77,25,23,48,21,24,45,421
2711,Fairfield Primary School,Primary,O,42,41,83,35,27,62,42,35,77,32,44,76,34,34,68,34,32,66,27,31,58,490
4906,Fairhills Primary School,Primary,O,4,6,10,11,11,22,8.2,11,19.2,9,13,22,9.2,8,17.2,9.2,9,18.2,13,11,24,132.6
5067,Falls Creek Primary School,Primary,O,4,0,4,1,2,3,3,1,4,1,2,3,1,0,1,1,2,3,3,0,3,21
3590,Fawkner Primary School,Primary,O,27,20,47,22,20,42,15,20,35,16,17,33,15,5,20,11.6,12,23.6,8,14,22,222.6
8899,Featherbrook P-9 College,Pri/Sec,O,53,68,121,19,15,34,18,9,27,11,14,25,12,9,21,10,9,19,3,6,9,256
4718,Ferntree Gully North Primary School,Primary,O,38,32,70,34,31,65,34,27,61,27,38,65,34,19,53,28,18,46,26,17,43,403
3228,Ferny Creek Primary School,Primary,O,17,9,26,15,17,32,18,11,29,11,7,18,15,21,36,20,14,34,14,15,29,204
5244,Findon Primary School,Primary,O,37,17,54,31,23,54,35,28,63,29,21,50,37,24,61,35,24,59,28,15,43,384
3028,Fish Creek and District Primary School,Primary,O,8,9,17,8,5,13,6,8,14,5,8,13,6,6,12,10,6,16,3,1,4,89
1490,Fitzroy North Primary School,Primary,O,43,31,74,26,35,61,44.2,28,72.2,46,47,93,35,41,76,46,36.4,82.4,37,34,71,529.6
450,Fitzroy Primary School,Primary,O,15,10,25,6,7,13,6,7,13,7,6,13,7,9,16,6,10,16,4,7,11,107
4407,Fleetwood Primary School,Primary,O,33,29,62,32,28,60,25,27,52,31,16,47,32,32,64,21,19,40,24,24,48,373
250,Flemington Primary School,Primary,O,24,25,49,24,29,53,36,37,73,38,27,65,39,28,67,28,24,52,36,18,54,413
3098,Flowerdale Primary School,Primary,O,4,1,5,5,1,6,2,4,6,3,0,3,0,0,0,3,5,8,2,1,3,31
1912,Footscray City Primary School,Primary,O,41,36,77,49,39,88,37,27,64,22,22,44,15,19,34,17,13,30,12,16,28,365
4160,Footscray North Primary School,Primary,O,46,39,85,48,32,80,23,25,48,21,20,41,35,28,63,20,20,40,32,21,53,410
253,Footscray Primary School,Primary,O,48,26,74,45,41,86,33,32,65,37,48,85,30,27,57,29,22.4,51.4,15,27,42,460.4
3890,Footscray West Primary School,Primary,O,50,39,89,58,37,95,57,48,105,40,41,81,49,38,87,41,41,82,44,39,83,622
4936,Forest Street Primary School,Primary,O,20,19,39,14,25,39,19,22,41,18,24,42,17,23,40,23,19,42,16,31,47,290
2708,Forrest Primary School,Primary,O,3,1,4,1,2,3,1,4,5,5,2,7,3,1,4,6,1,7,3,3,6,36
6221,Foster Primary School,Primary,O,20,10,30,18,15,33,11,20,31,12,14,26,19,12,31,13,11,24,16,20,36,211
5072,Fountain Gate Primary School,Primary,O,31,26,57,33,31,64,23,37,60,40,43,83,43,36,79,28,34,62,34,38,72,477
4682,Frankston East Primary School,Primary,O,11,6,17,4,15,19,13,16,29,8,12,20,13,12,25,12,14,26,15,13,28,164
4815,Frankston Heights Primary School,Primary,O,38,14,52,25,19,44,20,12,32,29,19,48,15,27,42,21,23,44,12,13,25,287
1464,Frankston Primary School,Primary,O,17,22,39,20,18,38,22,17,39,9,16,25,17,15,32,21,15,36,21,17,38,247
