School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
4990,Knox Park Primary School,Primary,O,16,15,31,17,17,34,21,30,51,35,16,51,20,14,34,24,20,44,23,17,40,285
3323,Kongwak Primary School,Primary,O,1,3,4,4,1,5,2,2,4,3,2,5,0,0,0,2,2,4,0,1,1,23
2629,Koo Wee Rup Primary School,Primary,O,17,18,35,16,27,43,16,13,29,17,15,32,16,13,29,11,15,26,12,19,31,225
2265,Koondrook Primary School,Primary,O,8,7,15,2,5,7,6,5,11,6,4,10,4,6,10,2,3,5,3,3,6,64
3470,Koorlong Primary School,Primary,O,4,5,9,4,7,11,1,2,3,4,2,6,4,2,6,2,5,7,7,2,9,51
618,Koroit And District Primary School,Primary,O,14,8,22,13,10,23,15,10,25,13,11,24,15.5,9,24.5,6,16,22,6,14,20,160.5
5499,Kororoit Creek Primary School,Primary,O,89,120,209,87,95,182,114,97,211,80,72,152,97,84,181,73,61,134,47,48,95,1164
3077,Korumburra Primary School,Primary,O,20,24,44,21,17,38,32,15,47,31,24,55,38,26,64,36,31,67,32,20,52,367
5182,Kunyung Primary School,Primary,O,67,64,131,55,54,109,53,56,109,46,51,97,57,45,102,39,31,70,42,34,76,694
5256,Kurunjang Primary School,Primary,O,39,47,86,51,39,90,41,45,86,49,31,80,37,33,70,39,41,80,33,38,71,563
7965,Kyabram P-12 College,Pri/Sec,O,28,26,54,38,22,60,33,31,64,45,35,80,19,27,46,34,24,58,42,24,66,428
343,Kyneton Primary School,Primary,O,25,26,51,17,20,37,17,21,38,25,18,43,20,17,37,27,18,45,31,19,50,301
2471,Labertouche Primary School,Primary,O,1,3,4,4,0,4,5,4,9,2,2,4,1,1,2,3,1,4,1,0,1,28
4863,Laburnum Primary School,Primary,O,43,42,85,68,48,116,65,47,112,57,41,98,56,53,109,67,58,125,50,53,103,748
