,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
221,ROOFTOP,"760 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",ChIJoVKzu_Nc1moRgGWFCw3oYbo,"760 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",-37.7652822,144.9247523,1,3039,OK,street_address
222,ROOFTOP,"5 Price St, Essendon VIC 3040, Australia",ChIJLxmOoT9c1moRbOfZNC40uKE,"5 Price St, Essendon VIC 3040, Australia",-37.75353,144.893995,1,3040,OK,street_address
223,ROOFTOP,"134/138 Buckley St, Essendon VIC 3040, Australia",EjAxMzQvMTM4IEJ1Y2tsZXkgU3QsIEVzc2VuZG9uIFZJQyAzMDQwLCBBdXN0cmFsaWE,"134 - 138 Buckley St, Essendon VIC 3040, Australia",-37.7563807,144.9135509,1,3040,OK,subpremise
224,ROOFTOP,"80 Harrick Rd, Keilor Park VIC 3042, Australia",ChIJN4JkHMle1moRPIOme1hCvzE,"80 Harrick Rd, Keilor Park VIC 3042, Australia",-37.7243574,144.8473771,1,3042,OK,street_address
225,ROOFTOP,"49 Freight Rd, Tullamarine VIC 3043, Australia",ChIJD1yg89Rb1moRAQ7cbOIXw74,"49 Freight Rd, Tullamarine VIC 3043, Australia",-37.6918297,144.8770693,1,3043,OK,street_address
226,GEOMETRIC_CENTER,"Derby St, Hingham, MA 02043, USA",ChIJG-ZLYQFi44kRPknL8BxuAKo,"Derby St & Kent Road, Pascoe Vale South VIC 3044, Australia",42.1798071,-70.912042,5,2043,OK,route
227,ROOFTOP,"701-703 Pascoe Vale Rd, Glenroy VIC 3046, Australia",ChIJddpK0qlb1moR6dxs6LGqb4k,"701-703 Pascoe Vale Rd, Glenroy VIC 3046, Australia",-37.7101195,144.9166225,1,3046,OK,street_address
228,ROOFTOP,"26 Millewa Cres, Dallas VIC 3047, Australia",ChIJs8Nvu5xa1moRUw-jA-xwzGo,"26 Millewa Cres, Dallas VIC 3047, Australia",-37.6741304,144.9291326,1,3047,OK,street_address
229,ROOFTOP,"9 Western Ave, Westmeadows VIC 3049, Australia",ChIJmaa-_y5a1moRqDmoGQ9Oh8s,"9 Western Ave, Westmeadows VIC 3049, Australia",-37.6849401,144.8810734,1,3049,OK,street_address
230,ROOFTOP,"135 Capel St, North Melbourne VIC 3051, Australia",ChIJZ_PBUTFd1moRXoFR2LRx740,"135 Capel St, North Melbourne VIC 3051, Australia",-37.8048134,144.9550547,1,3051,OK,street_address
231,ROOFTOP,"161-167 Peel St, North Melbourne VIC 3051, Australia",ChIJN44-3jNd1moRwsForwvw6xA,"161 -167 Peel St, North Melbourne VIC 3051, Australia",-37.8042516,144.955922,1,3051,OK,street_address
